SessionID,DeviseID,UserID,Date,Year,TimeStamp,X,Y,Z,Activity
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -2.965693, -8.047855, 5.4295177, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -2.9513197, -7.6969075, 5.4414954, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -2.6135468, -8.417969, 5.41754, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -2.3548272, -7.8190804, 5.1851716, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -1.773906, -8.948584, 5.445089, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -1.923628, -8.537746, 5.4570665, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -1.7930704, -8.635963, 5.803224, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -1.4624842, -8.67549, 5.610382, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -1.0492517, -8.855157, 5.599602, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -1.1570514, -8.785686, 6.331443, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -1.1259093, -9.555856, 5.502582, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -1.5079998, -8.604821, 4.9180675, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -1.6673039, -7.9364624, 4.8150587, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -1.1247115, -7.769972, 4.9228587, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -0.9678029, -8.136491, 4.3790684, Drinking Water, 
